"ID","SMR","Calendar","Eng_Speed_Max","Eng_Speed_Ave","Blowby_Press_Max","LF_Exh_Temp_Max","LR_Exh_Temp_Max","RF_Exh_Temp_Max","RR_Exh_Temp_Max","Boost_Press_Max","E_Oil_P_Max","E_Oil_P_Lo_Min","E_Oil_P_Hi_Min","E_Oil_Tmp_Max","Fuel_Rate","Cool_Temp_Max","Cool_Temp_Min","TM_Oil_Temp_Max","Ambient_Temp_Max","Ambient_Temp_Ave","Ambient_Temp_Min","Atomos_Press_Ave","F_Brake_P_Max","R_Brake_P_Max","Travel_Speed_Max","ECO_ON","Machine_Serial"
"87093649","16857.2","2019-03-29 09:50:30","2251","1543","1442.8469460589","732","965","566","718","16620.781074743","6.1180789232181","1.3255837666973","3.9767513000918","97","91.1","81","25","89","24","14","8","840","213.1130824921","212.09340267156","36.2","3901","9550"
"87093648","16837.2","2019-03-28 01:30:18","2249","1556","1417.3549505455","758","874","528","746","16314.877128582","6.2200469052717","1.3255837666973","3.8747833180381","98","90.8","84","30","89","24","18","13","830","213.1130824921","212.09340267156","37.3","3065","9550"
"87093647","16817.2","2019-03-26 23:11:42","2332","1509","1316.4066483124","779","661","753","758","16110.941164474","6.1180789232181","1.2236157846436","3.8747833180381","99","85.4","84","28","81","23","18","13","830","213.1130824921","212.09340267156","36.9","2486","9550"
"87093646","16797.2","2019-03-25 22:25:38","2240","1516","1373.5087182625","769","763","749","727","16110.941164474","6.1180789232181","1.3255837666973","4.0787192821454","99","91.9","86","28","84","27","20","17","830","213.1130824921","212.09340267156","37.3","2810","9550"
"87093645","16777.2","2019-03-24 16:47:58","2248","1542","1388.8039155705","756","748","735","720","16518.813092689","6.3220148873254","1.3255837666973","4.0787192821454","98","94","82","31","82","29","18","10","830","213.1130824921","212.09340267156","37.3","490","9550"
"87093644","16757.3","2019-03-23 08:37:58","2280","1438","1362.2922402366","747","730","708","719","16722.749056796","6.1180789232181","1.3255837666973","4.180687264199","96","86.4","79","38","81","26","12","6","840","214.13276231263","212.09340267156","37.3","1198","9550"
"87093643","16737.3","2019-03-22 06:24:31","2275","1483","1399.0007137759","739","736","716","719","16722.749056796","6.7298868155399","1.3255837666973","3.9767513000918","96","88.3","81","14","81","27","13","7","830","214.13276231263","212.09340267156","38.5","1611","9550"
"87093642","16717.2","2019-03-19 20:54:30","2259","1512","1299.0720913633","746","730","702","667","16722.749056796","6.3220148873254","1.2236157846436","3.8747833180381","96","93.1","80","9","81","23","14","7","830","291.6284286734","290.60874885286","38.1","2780","9550"
"87093641","16697.2","2019-03-18 06:53:29","2247","1503","1307.2295299276","790","776","718","679","16518.813092689","6.0161109411645","1.2236157846436","3.7728153359845","99","93.7","86","35","83","26","17","9","820","189.66044661976","187.62108697869","37","635","9550"
"87093640","16677.2","2019-03-17 01:26:59","2312","1525","1307.2295299276","776","752","754","726","16620.781074743","5.7102069950036","1.2236157846436","3.7728153359845","99","96.5","84","42","82","26","17","11","830","189.66044661976","187.62108697869","37.5","62","9550"
"87093639","16657.2","2019-03-15 23:12:57","2341","1502","1296.0130519017","762","769","738","649","16416.845110635","6.3220148873254","1.2236157846436","3.7728153359845","99","93","85","23","92","24","18","13","830","188.64076679923","187.62108697869","36.5","1247","9550"
"87093638","16637.2","2019-03-14 17:09:27","2242","1504","1364.3315998776","749","759","726","756","16620.781074743","6.2200469052717","1.2236157846436","3.7728153359845","99","93.6","83","28","83","32","18","12","830","188.64076679923","187.62108697869","36.9","2446","9550"
"87093637","16617.2","2019-03-13 10:59:38","2271","1548","1396.9613541348","740","727","717","471","16518.813092689","5.8121749770572","1.2236157846436","3.8747833180381","96","93.3","79","44","82","25","13","10","840","188.64076679923","186.60140715815","38.1","2280","9550"
"87093636","16597.1","2019-03-12 09:08:42","2310","1501","1393.9023146732","727","733","711","729","16722.749056796","5.9141429591108","1.2236157846436","3.7728153359845","98","92","81","39","93","26","12","7","830","188.64076679923","187.62108697869","37.2","2487","9550"
"87093635","16577.1","2019-03-11 06:56:09","2244","1485","1378.6071173651","740","701","713","735","16722.749056796","6.1180789232181","1.12164780259","3.7728153359845","99","91.1","82","5","82","24","11","6","830","189.66044661976","187.62108697869","37.3","4020","9550"
"87093633","16537.1","2019-03-04 22:48:14","2291","1419","1272.5604160294","739","685","734","718","16620.781074743","6.6279188334863","1.12164780259","3.7728153359845","101","86.2","82","18","83","21","15","8","830","189.66044661976","186.60140715815","36.8","275","9550"
"87093634","16557.1","2019-03-06 02:42:56","2337","1471","1304.170490466","737","720","708","721","16518.813092689","6.1180789232181","1.12164780259","3.7728153359845","99","89.7","80","32","82","18","12","9","830","189.66044661976","187.62108697869","37.8","1572","9550"
"87093632","16517.1","2019-03-03 15:49:29","2299","1533","1313.3476088508","740","519","594","706","16518.813092689","5.9141429591108","1.2236157846436","3.7728153359845","101","94.4","82","41","89","20","12","7","830","189.66044661976","186.60140715815","36.4","1614","9550"
"87093630","16477","2019-03-01 10:14:09","2352","1438","1283.7768940553","751","679","732","715","16314.877128582","6.3220148873254","1.3255837666973","3.8747833180381","97","84.8","82","30","82","21","15","8","820","189.66044661976","187.62108697869","36.9","3517","9550"
"87093615","16176.8","2019-02-10 11:38:26","2237","1559","1178.74987254","725","573","718","651","16416.845110635","5.8121749770572","1.2236157846436","3.8747833180381","94","86.6","79","40","81","22","13","8","830","189.66044661976","187.62108697869","36.9","584","9550"
"87093616","16196.8","2019-02-11 14:51:49","2277","1535","1213.4189864383","416","530","713","704","16518.813092689","5.7102069950036","1.2236157846436","3.9767513000918","93","84.8","79","40","87","25","11","6","830","188.64076679923","186.60140715815","37.4","590","9550"
"87093631","16497.1","2019-03-02 13:48:34","2293","1474","1359.233200775","734","610","708","715","16824.71703885","6.2200469052717","1.2236157846436","3.8747833180381","99","90","79","37","93","20","9","2","820","190.6801264403","188.64076679922","37.1","238","9550"
"87093629","16457","2019-02-27 22:59:29","2235","1482","1271.5407362088","745","699","721","756","16416.845110635","6.0161109411645","1.2236157846436","3.9767513000918","98","88.5","84","26","82","22","15","9","830","188.64076679923","186.60140715815","36.4","519","9550"
"87093628","16437","2019-02-26 16:37:57","2286","1422","1297.0327317222","345","635","450","701","16620.781074743","6.0161109411645","1.3255837666973","3.9767513000918","96","83.8","79","40","82","20","10","6","830","189.66044661976","187.62108697869","37.4","1580","9550"
